username,text,replies,retweets,quotes,likes,url,timestamp,Merged Hashtags.1,Merged Tweet Mentions
@iRangnathMishra,"Must watch ! 
#G20India2023 #G20Bharat #G20SummitDelhi #G20India #G20",0,3,0,8,https://twitter.com/iRangnathMishra/status/1700075557734789472,9/8/2023,#G20India2023 #G20Bharat #G20SummitDelhi #G20India #G20             ,                                     
@iRangnathMishra,"Uniting the world ??????

#G20India",0,1,0,4,https://twitter.com/iRangnathMishra/status/1700425630536605939,9/9/2023,#G20India                 ,                                     
@Velazhagan88,"Was it part of the #G20India discussion?...
Let see how BJ Party leverages such incidents for upcoming elections. 
""Hindu kathre me hein""",0,0,0,0,https://twitter.com/Velazhagan88/status/1705037464187130360,9/22/2023,#G20India                 ,                                     
@ORFMumbai,??New episode of Ideas Factory is out now!  Watch @NagmaSahar and Harsh V Pant discuss #G20India Summit 2023; #NewDelhi as the Rule Shaper; The #India-#MiddleEast-#Europe Corridor and more.  Tune in now!  vid.puffyan.us/m5l1NQgQGxI,0,0,0,0,https://twitter.com/ORFMumbai/status/1704986363370811727,9/22/2023,#G20India #NewDelhi #India #MiddleEast #Europe             ,nagmasahar                                     
@KevinHyland63,"Human trafficking: one of the most serious issues of time.  @GordonBrown explains to @IF20org #G20India why the global community must prioritise human trafficking. This will need significant funding, political will & long-term policy for prevention, victim support & prosecution.",0,4,1,9,https://twitter.com/KevinHyland63/status/1704564635691528553,9/21/2023,#G20India                 ,GordonBrown IF20org                                    
@anotherdeep,"#SOS: community dog, seemingly evicted (imagine you or your kids experiencing that) during #G20India, seems to have been relocated to a place not its home (imagine you or your kids experiencing that).
Pls spread the word and help it home.
@NehaMadaanTOI @SonuSood @OberoiShelly",2,13,1,9,https://twitter.com/anotherdeep/status/1701693264154579318,9/13/2023,#SOS #G20India                ,NehaMadaanTOI SonuSood OberoiShelly                                   
@PiyushGoyal,"For world peace??

#G20India leaders at Rajghat",542,3956,187,28234,https://twitter.com/PiyushGoyal/status/1700732184024515055,9/10/2023,#G20India                 ,                                     
@spmrfoundation,"Senior Journalist & Columnist Prof. @MediaHarshVT shared his views during a discussion on “India's #G20 Presidency: Pathbreaking Success & The Road Ahead”. 

#G20India #G20Bharat @g20org",1,10,0,40,https://twitter.com/spmrfoundation/status/1704522774675693679,9/20/2023,#G20 #G20India #G20Bharat               ,MediaHarshVT g20org                                    
@MinOfCultureGoI,"Located in the Birbhum district of West Bengal, Santiniketan, was included in the #UNESCOWorldHeritage List during the 45th Session of the World Heritage Committee in Saudi Arabia. Santiniketan is India’s 41st World Heritage Site.

#CultuteUnitesAll #G20India #AmritMahotsav",3,45,7,120,https://twitter.com/MinOfCultureGoI/status/1703778560190886357,9/18/2023,#UNESCOWorldHeritage #CultuteUnitesAll #G20India #AmritMahotsav              ,                                     
@HelperForU,"Want a domestic helper who won't make you pull your hair out? Dive into our and unlock the secret to effortless domestic helper hiring in our lastest blog - helper4u.in/blogscontent?bid…
#domestichelpers #G20India #hire #ARTICLE #helper4u #verification",0,1,0,2,https://twitter.com/HelperForU/status/1700153346823250377,9/8/2023,#domestichelpers #G20India #hire #ARTICLE #helper4u #verification            ,                                     
@MinOfCultureGoI,"Visit liberationhyderabad.org and witness the remarkable history and legacy of this crucial chapter in Indian history.

#HyderabadLiberationDay #AmritMahotsav #CultureUnitesAll #G20India",0,2,0,4,https://twitter.com/MinOfCultureGoI/status/1704834732415168714,9/21/2023,#HyderabadLiberationDay #AmritMahotsav #CultureUnitesAll #G20India              ,                                     
@MinOfCultureGoI,"Let us honour the bravehearts through #MeriMaatiMeraDesh campaign.

Visit yuva.gov.in/ for more information.

#CultureUnitesAll #G20India #AmritMahotsav",1,1,0,3,https://twitter.com/MinOfCultureGoI/status/1704882010655781168,9/21/2023,#MeriMaatiMeraDesh #CultureUnitesAll #G20India #AmritMahotsav              ,                                     
@PandaJay,I was interviewed by @FRANCE24 on the eve of #G20India in Delhi. Do check it out…,34,920,14,1551,https://twitter.com/PandaJay/status/1700002601083740536,9/8/2023,#G20India                 ,FRANCE24                                     
@BSNLCorporate,"Update your antivirus to keep your system protected.

#BeCyberSmart #StaySafeOnline #BSNL #CybersecurityAwareness #BeCyberSafe #G20India",19,26,2,85,https://twitter.com/BSNLCorporate/status/1697482464279556510,9/1/2023,#BeCyberSmart #StaySafeOnline #BSNL #CybersecurityAwareness #BeCyberSafe #G20India            ,                                     
@BSNLCorporate,#Nutrition is a daily commitment to your well-being. #NationalNutritionWeek #NutritionWeek #HealthyEating #BSNL #G20India,11,33,0,97,https://twitter.com/BSNLCorporate/status/1697797842243580360,9/2/2023,#Nutrition #NationalNutritionWeek #NutritionWeek #HealthyEating #BSNL #G20India            ,                                     
@BSNLCorporate,"Avoid interacting with strangers while online.

#BeCyberSmart #StaySafeOnline #BSNL #CybersecurityAwareness #BeCyberSafe #G20India",14,38,1,95,https://twitter.com/BSNLCorporate/status/1698598074376196261,9/4/2023,#BeCyberSmart #StaySafeOnline #BSNL #CybersecurityAwareness #BeCyberSafe #G20India            ,                                     
@BSNLCorporate,"To all the educators who light up our lives with knowledge and kindness, we salute you. Happy Teacher's Day!

#HappyTeachersDay #SarvepalliRadhakrishnan #??????_???? #BSNL #G20India",6,43,1,122,https://twitter.com/BSNLCorporate/status/1698879506381955081,9/5/2023,#HappyTeachersDay #SarvepalliRadhakrishnan #??????_???? #BSNL #G20India             ,                                     
@spmrfoundation,"Senior Journalist #AshokSrivastava (Editor & Anchor, DD News) shared his views during a discussion on “India's #G20 Presidency: Pathbreaking Success & The Road Ahead”. 

#G20India #G20Bharat @g20org",0,6,0,8,https://twitter.com/spmrfoundation/status/1704518537568735656,9/20/2023,#AshokSrivastava #G20 #G20India #G20Bharat              ,g20org                                     
@spmrfoundation,"Chairman SPMRF Dr @anirbanganguly shared his views during a discussion on “India's #G20 Presidency: Pathbreaking Success & The Road Ahead”. 

#G20India #G20Bharat @g20org",0,3,0,7,https://twitter.com/spmrfoundation/status/1704527662293848472,9/20/2023,#G20 #G20India #G20Bharat               ,anirbanganguly g20org                                    
@spmrfoundation,"Amb @max_amb (India's Former Permanent Representative to the United Nations) shared his views during a discussion on “India's #G20 Presidency: Pathbreaking Success & The Road Ahead”. 

#G20India #G20Bharat @g20org",0,2,0,5,https://twitter.com/spmrfoundation/status/1704511052824588658,9/20/2023,#G20 #G20India #G20Bharat               ,max_amb g20org                                    
@spmrfoundation,"Felicitation of Speakers by Chairman SPMRF Dr @anirbanganguly during a discussion on ""India's #G20 Presidency: Pathbreaking Success & The Road Ahead"" 

#G20India #G20Bharat @g20org",1,6,0,36,https://twitter.com/spmrfoundation/status/1704502984435007725,9/20/2023,#G20 #G20India #G20Bharat               ,anirbanganguly g20org                                    
@MelJStride,"The right skills are essential in this fast-moving world, and helping people to get into and progress in work is my top priority.

#G20India ????????",176,88,27,595,https://twitter.com/MelJStride/status/1683359776221143040,7/24/2023,#G20India                 ,                                     
@BJP4India,"PM Shri @narendramodi visited the International Media Centre and greeted the people at Bharat Mandapam.

#G20India",196,1564,16,6513,https://twitter.com/BJP4India/status/1700897994349150456,9/10/2023,#G20India                 ,narendramodi                                     
@orfonline,"Navigating the Changing World: #India's #G20 Presidency

Watch @samirsaran engage with students from @FLAMEUniversity.

vid.puffyan.us/rJ5NTTgJURU
#G20India #G20Summit #G20SummitIndia",0,4,0,3,https://twitter.com/orfonline/status/1704881238409138355,9/21/2023,#India #G20 #G20India #G20Summit #G20SummitIndia             ,samirsaran FLAMEUniversity                                    
@CICSaudi,#SaudiArabia’s pivotal role in the #G20 as outlined by prominent journalists and researchers. #G20India,88,571,10,8256,https://twitter.com/CICSaudi/status/1700971999835926654,9/11/2023,#SaudiArabia #G20 #G20India               ,                                     
